GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
GP29,GPIO29
LED,GPIO25
CAM_D0,GPIO0
CAM_D1,GPIO1
CAM_D2,GPIO2
CAM_D3,GPIO3
CAM_D4,GPIO4
CAM_D5,GPIO5
CAM_D6,GPIO6
CAM_D7,GPIO7
CAM_VSYNC,GPIO8
CAM_HREF,GPIO9
CAM_PCLK,GPIO10
CAM_XCLK,GPIO11
CAM_PWDN,GPIO21
TWI_SDA,GPIO22
TWI_CLK,GPIO23
IMU_SDA,GPIO12
IMU_SCL,GPIO13
IMU_INT1,GPIO14
LCD_BL,GPIO15
LCD_DC,GPIO16
LCD_CS,GPIO17
LCD_CLK,GPIO18
LCD_DIN,GPIO19
LCD_RST,GPIO20
TP_INT,GPIO29
TP_SDA,GPIO12
TP_SCL,GPIO13
BAT_ADC,GPIO28


